,0,1,2
0,1.0,7.0,7.0
1,1.0,7.0,7.0
2,1.0,7.0,7.0
3,1.0,7.0,7.0
4,1.0,7.0,7.0
5,1.0,7.0,7.0
6,1.0,7.0,7.0
7,1.0,7.0,7.0
8,1.0,7.0,7.0
9,0.0,4.0,13.0
10,0.0,11.0,17.0
11,0.0,10.0,12.0
12,0.0,4.0,13.0
13,0.0,4.0,17.0
14,1.0,12.0,12.0
15,0.0,4.0,13.0
16,0.0,17.0,13.0
17,0.0,11.0,17.0
18,1.0,12.0,12.0
19,0.0,6.0,11.0
20,0.0,6.0,10.0
21,0.0,8.0,11.0
22,0.0,6.0,10.0
23,0.0,4.0,11.0
24,0.0,11.0,10.0
25,0.0,4.0,11.0
26,0.0,11.0,10.0
27,0.0,4.0,11.0
28,0.0,4.0,10.0
29,1.0,11.0,11.0
30,0.0,11.0,10.0
31,0.0,10.0,11.0
32,1.0,10.0,10.0
33,0.0,10.0,11.0
34,1.0,10.0,10.0
35,0.0,10.0,11.0
36,0.0,4.0,10.0
37,0.0,4.0,10.0
38,0.0,8.0,9.0
39,1.0,8.0,8.0
40,1.0,4.0,4.0
41,1.0,4.0,4.0
42,1.0,4.0,4.0
43,1.0,4.0,4.0
44,1.0,4.0,4.0
45,1.0,4.0,4.0
46,1.0,4.0,4.0
47,1.0,4.0,4.0
48,1.0,4.0,4.0
49,1.0,4.0,4.0
50,1.0,4.0,4.0
51,1.0,4.0,4.0
52,1.0,4.0,4.0
53,1.0,4.0,4.0
54,1.0,4.0,4.0
55,1.0,4.0,4.0
56,1.0,4.0,4.0
57,1.0,4.0,4.0
58,1.0,4.0,4.0
59,1.0,4.0,4.0
60,1.0,4.0,4.0
61,1.0,4.0,4.0
62,1.0,4.0,4.0
63,1.0,4.0,4.0
64,1.0,4.0,4.0
65,1.0,4.0,4.0
66,1.0,4.0,4.0
67,0.0,10.0,4.0
68,1.0,4.0,4.0
69,1.0,4.0,4.0
70,1.0,4.0,4.0
71,1.0,4.0,4.0
72,1.0,4.0,4.0
73,1.0,4.0,4.0
74,1.0,4.0,4.0
75,0.0,10.0,4.0
76,1.0,4.0,4.0
77,1.0,4.0,4.0
78,1.0,4.0,4.0
79,1.0,4.0,4.0
80,1.0,4.0,4.0
81,1.0,4.0,4.0
82,1.0,4.0,4.0
83,1.0,4.0,4.0
84,1.0,4.0,4.0
85,1.0,4.0,4.0
86,1.0,4.0,4.0
87,1.0,4.0,4.0
88,1.0,4.0,4.0
89,1.0,4.0,4.0
90,1.0,4.0,4.0
91,1.0,4.0,4.0
92,1.0,4.0,4.0
93,1.0,4.0,4.0
94,1.0,4.0,4.0
95,1.0,4.0,4.0
96,1.0,4.0,4.0
97,1.0,4.0,4.0
98,1.0,4.0,4.0
99,1.0,4.0,4.0
100,1.0,4.0,4.0
101,1.0,4.0,4.0
102,1.0,4.0,4.0
103,1.0,4.0,4.0
104,1.0,4.0,4.0
105,1.0,4.0,4.0
106,1.0,4.0,4.0
107,1.0,4.0,4.0
108,1.0,4.0,4.0
109,1.0,4.0,4.0
110,1.0,4.0,4.0
111,1.0,4.0,4.0
112,1.0,4.0,4.0
113,1.0,4.0,4.0
114,1.0,4.0,4.0
115,1.0,4.0,4.0
116,1.0,4.0,4.0
117,1.0,4.0,4.0
118,1.0,4.0,4.0
119,1.0,4.0,4.0
120,1.0,4.0,4.0
121,1.0,4.0,4.0
122,1.0,4.0,4.0
123,1.0,4.0,4.0
124,1.0,4.0,4.0
125,1.0,4.0,4.0
126,1.0,4.0,4.0
127,1.0,4.0,4.0
128,1.0,4.0,4.0
129,1.0,4.0,4.0
130,1.0,4.0,4.0
131,1.0,4.0,4.0
132,1.0,4.0,4.0
133,1.0,4.0,4.0
134,1.0,4.0,4.0
135,1.0,4.0,4.0
136,1.0,4.0,4.0
137,1.0,4.0,4.0
138,1.0,4.0,4.0
139,1.0,4.0,4.0
140,1.0,4.0,4.0
141,1.0,4.0,4.0
142,1.0,4.0,4.0
143,1.0,4.0,4.0
144,1.0,4.0,4.0
145,1.0,4.0,4.0
146,1.0,4.0,4.0
